Id,Year,Location,FirstName,LastName,Title,GrossPay,RegularPay,OvertimePay,OtherPay
1,2013,Irvine,STEVEN RICHARD,ZYLIUS,MGN PRODUCER DIR,64148.00,62573.00,0.00,1575.00
2,2013,Irvine,SUSAN L,ZWIERZYNSKI,BLANK AST 3,23111.00,23092.00,19.00,0.00
3,2013,Irvine,LINDA S,ZWIER,OCCUPATIONAL THER CERT AST 2,67138.00,65082.00,1056.00,1000.00
4,2013,Irvine,DAVY,ZURAK,LECT-AY-1/9,3065.00,3065.00,0.00,0.00
5,2013,Irvine,GRISELDA,ZUNO,PERSONNEL ANL,52043.00,47113.00,2630.00,2300.00
6,2013,Irvine,MANUEL R.,ZUNIGA,BLDG MAINT SUPV SR,69463.00,56395.00,1704.00,11364.00
7,2013,Irvine,YANINA ZOILA,ZUNIGA,MED CTR CUSTODIAN,34412.00,31305.00,2088.00,1019.00
8,2013,Irvine,SARA,ZUNIGA,FOOD SVC WORKER,14681.00,14681.00,0.00,0.00
9,2013,Irvine,BLANCA V,ZUNIGA,HS ASST CLIN PROF-HCOMP,50000.00,28135.00,0.00,21865.00
10,2013,Irvine,KERRY ANN,ZUNIGA,PERSONNEL ANL,62169.00,51237.00,8656.00,2276.00
11,2013,Irvine,MARLEN,ZUNIGA,HOSP LAB TCHN 3,50388.00,48859.00,889.00,640.00
12,2013,Irvine,FLAVIANO,ZUNIGA,CUSTODIAN,29373.00,27824.00,0.00,1549.00
13,2013,Irvine,DITAS B.,ZULUETA,CLIN NURSE 4,119759.00,104172.00,7386.00,8201.00
14,2013,Irvine,FATIN,ZUBI,BLANK AST 3,41073.00,40827.00,234.00,12.00
15,2013,Irvine,BRIGID,ZUANICH,ULTRASOUND TCHNO SR PD,11587.00,11587.00,0.00,0.00
16,2013,Irvine,SERGEY,ZOTOV,ASSOC SPECIALIST,60476.00,60476.00,0.00,0.00
17,2013,Irvine,SHEEVA,ZOLGHADR,ASST SPECIALIST,4045.00,4045.00,0.00,0.00
18,2013,Irvine,DONALD A JR,ZOELLERS,BLDG MAINT WORKER,35804.00,35624.00,175.00,5.00
19,2013,Irvine,DANIELLE L,ZMICH,CLIN NURSE 2,19985.00,17801.00,461.00,1723.00
20,2013,Irvine,ALBERT,ZLOTNIK,PROF-HCOMP,234441.00,189443.00,0.00,44998.00
21,2013,Irvine,HADAR,ZIV,CONTINUING APPT-TEMP AUG,62504.00,56844.00,0.00,5660.00
22,2013,Irvine,PAUL ANDREW,ZISSOS,ASSOC PROF-AY,97770.00,85750.00,0.00,12020.00
23,2013,Irvine,DIRK DARWIN,ZIRBEL,MGR,128695.00,121195.00,0.00,7500.00
24,2013,Irvine,ARGYRIOS,ZIOGAS,ASSOC ADJ PROF-HCOMP,97033.00,97033.00,0.00,0.00
25,2013,Irvine,NOAH,ZINNER,VIS PROF,64058.00,64058.00,0.00,0.00
26,2013,Irvine,JOANNE FRATTAROLI,ZINGER,LECT PSOE-AY-100%,73914.00,68492.00,0.00,5422.00
27,2013,Irvine,CONI LYN,ZINGARELLI,DIR,94231.00,93656.00,0.00,575.00
28,2013,Irvine,JURIS KRISTAPS,ZINBERGS,RECREATION PRG INSTR,4928.00,0.00,0.00,4928.00
29,2013,Irvine,MARNIE D,ZIMMERMAN,SRA 4,4137.00,4137.00,0.00,0.00
30,2013,Irvine,SHARON H.,ZIMMERMAN,RECREATION THER 1 NEX,52243.00,52243.00,0.00,0.00
31,2013,Irvine,JENNIFER A.,ZIMMERMAN,PUBL EVENTS MGR SR,57788.00,56713.00,0.00,1075.00
32,2013,Irvine,CHRYSTELLE CATH,ZIMMERMAN,PERSONNEL ANL PRN,80030.00,79305.00,0.00,725.00
33,2013,Irvine,ROY DOUGLAS,ZIMMERMAN,STEAM OPERATING ENGR LD,79528.00,70643.00,7171.00,1714.00
34,2013,Irvine,JAYMEE L,ZILLGITT,HEALTH INFO SYS ANL,111203.00,107909.00,0.00,3294.00
35,2013,Irvine,JOSEPH,ZILLER,DEV ENGR SR,93182.00,92607.00,0.00,575.00
36,2013,Irvine,CHRISTINA A,ZILKOW,SRA 2 NEX,1103.00,1103.00,0.00,0.00
37,2013,Irvine,FLORENCE WANGUI,ZILKO,CLIN NURSE 3,92834.00,79236.00,9040.00,4558.00
38,2013,Irvine,MARYAM,ZIGLARI,NURSE PD,46667.00,46460.00,207.00,0.00
39,2013,Irvine,CILLA,ZIEMLANSKI,CLIN SOCIAL WORKER SUPV,90052.00,89052.00,0.00,1000.00
40,2013,Irvine,BENJAMIN PAUL,ZIEMER,ASST SPECIALIST,28226.00,26947.00,0.00,1279.00
41,2013,Irvine,MARY,ZIEGLER,POSTDOC-EMPLOYEE,15152.00,15152.00,0.00,0.00
42,2013,Irvine,JASON,ZIEBARTH,MGT SVC OFCR 1,73645.00,73070.00,0.00,575.00
43,2013,Irvine,NASREEN,ZIA,ADMIN ANL PRN 1,78791.00,78216.00,0.00,575.00
44,2013,Irvine,XIAOLIN,ZI,ASSOC PROF-HCOMP,140001.00,119578.00,0.00,20423.00
45,2013,Irvine,XIAOYI,ZHUO,LAB AST 2,14828.00,14767.00,61.00,0.00
46,2013,Irvine,XIN,ZHU,PROGR ANL 2,57756.00,57181.00,0.00,575.00
47,2013,Irvine,RUIFANG,ZHU,LAB AST 3,46389.00,46389.00,0.00,0.00
48,2013,Irvine,JIEWEN,ZHU,ASST SPECIALIST,47852.00,47852.00,0.00,0.00
49,2013,Irvine,JIANG,ZHU,POSTDOC-EMPLOYEE,6544.00,6544.00,0.00,0.00
50,2013,Irvine,SHUN,ZHU,POSTDOC-EMPLOYEE,42131.00,42131.00,0.00,0.00
51,2013,Irvine,ERCHENG,ZHU,ASSOC PROJ SCIENTIST-FY,74267.00,74267.00,0.00,0.00
52,2013,Irvine,LOUIS L.,ZHU,TEACHER-UNEX-CONTRACT YR,2200.00,0.00,0.00,2200.00
53,2013,Irvine,YUBAO,ZHU,ASSOC SPECIALIST,16352.00,16352.00,0.00,0.00
54,2013,Irvine,LEANN,ZHU,CLIN NURSE 2,97854.00,89839.00,4231.00,3784.00
55,2013,Irvine,QUN-YONG,ZHOU,PROF-HCOMP,110110.00,104019.00,0.00,6091.00
56,2013,Irvine,AIHUI,ZHOU,VIS RES,8864.00,8864.00,0.00,0.00
57,2013,Irvine,YUNLIAN,ZHOU,CLIN NURSE 2,103499.00,101357.00,520.00,1622.00
58,2013,Irvine,TIANYI,ZHOU,JR SPECIALIST,1137.00,1137.00,0.00,0.00
59,2013,Irvine,JIAN,ZHOU,POSTDOC-EMPLOYEE,6956.00,6956.00,0.00,0.00
60,2013,Irvine,YI-HONG,ZHOU,ASST PROF IN RES-HCOMP,113566.00,95745.00,0.00,17821.00
61,2013,Irvine,WEIWEI,ZHOU,ASST PROJ SCIENTIST-FY-B/E/E,23472.00,23472.00,0.00,0.00
62,2013,Irvine,SHUFANG,ZHOU,BLANK AST 2,32633.00,32633.00,0.00,0.00
63,2013,Irvine,NING,ZHOU,POSTDOC-EMPLOYEE,53999.00,53999.00,0.00,0.00
64,2013,Irvine,GUOFA,ZHOU,ASSOC PROJ SCIENTIST-FY,69983.00,69983.00,0.00,0.00
65,2013,Irvine,DAIBIN,ZHONG,ASST PROJ SCIENTIST-FY,59900.00,59900.00,0.00,0.00
66,2013,Irvine,LU QIAN,ZHENG,PROGR ANL 3,65100.00,64525.00,0.00,575.00
67,2013,Irvine,LAN,ZHENG,PHARMACIST SPEC,154242.00,146620.00,0.00,7622.00
68,2013,Irvine,LIKUN,ZHENG,VIS ASST PROF,54325.00,54325.00,0.00,0.00
69,2013,Irvine,LU,ZHENG,PROF-AY-B/E/E,259350.00,211750.00,0.00,47600.00
70,2013,Irvine,LIFENG,ZHENG,ASST SPECIALIST,45732.00,45732.00,0.00,0.00
71,2013,Irvine,JIAN-GUO,ZHENG,PROJ SCIENTIST-FY,114517.00,114517.00,0.00,0.00
72,2013,Irvine,LI,ZHAO,ASST SPECIALIST,41638.00,41638.00,0.00,0.00
73,2013,Irvine,XIAOHUI,ZHAO,HS ASSOC CLIN PROF-HCOMP,234669.00,140930.00,0.00,93739.00
74,2013,Irvine,HONG-KAI,ZHAO,PROF-AY,169697.00,121508.00,0.00,48189.00
75,2013,Irvine,WEIAN,ZHAO,ASST PROF-AY,124883.00,74183.00,0.00,50700.00
76,2013,Irvine,JIAYU,ZHAO,CLIN NURSE 2,88130.00,77737.00,3168.00,7225.00
77,2013,Irvine,BO,ZHAO,ASST PROJ SCIENTIST-FY,52267.00,52267.00,0.00,0.00
78,2013,Irvine,HELEN,ZHAO,LIBRARY AST 4,48574.00,46833.00,0.00,1741.00
79,2013,Irvine,YUE,ZHAO,POSTDOC-EMPLOYEE,14152.00,14152.00,0.00,0.00
80,2013,Irvine,YAN,ZHANG,ASSOC SPECIALIST,54863.00,54474.00,0.00,389.00
81,2013,Irvine,YANG,ZHANG,SPECIALIST,70883.00,70883.00,0.00,0.00
82,2013,Irvine,YING,ZHANG,LIBRARY AST 3,19339.00,18984.00,0.00,355.00
83,2013,Irvine,HAIGANG,ZHANG,POSTDOC-EMPLOYEE,41763.00,41763.00,0.00,0.00
84,2013,Irvine,YANNING,ZHANG,POSTDOC-EMPLOYEE,36578.00,36578.00,0.00,0.00
85,2013,Irvine,CHARLES FENG HUA,ZHANG,SRA 2 NEX,30758.00,30758.00,0.00,0.00
86,2013,Irvine,YU,ZHANG,POSTDOC-EMPLOYEE,43580.00,43580.00,0.00,0.00
87,2013,Irvine,YU,ZHANG,ASST PROF-AY-B/E/E,158256.00,142267.00,0.00,15989.00
88,2013,Irvine,DACHUN,ZHANG,SPECIALIST,67664.00,67664.00,0.00,0.00
89,2013,Irvine,JUN,ZHANG,ASST RES-FY,69525.00,69525.00,0.00,0.00
90,2013,Irvine,HONGHAI,ZHANG,ASST SPECIALIST,44369.00,44369.00,0.00,0.00
91,2013,Irvine,JINGWEN,ZHANG,ASST SPECIALIST,47504.00,47504.00,0.00,0.00
92,2013,Irvine,JENNIFER YUE,ZHANG,CLIN LAB SCI SPEC SUPV SR EX,116929.00,112981.00,0.00,3948.00
93,2013,Irvine,MINGXIA,ZHANG,JR SPECIALIST,3468.00,3468.00,0.00,0.00
94,2013,Irvine,XIAOYAN,ZHANG,LIBRARY AST 4,11871.00,11871.00,0.00,0.00
95,2013,Irvine,JIAJUN,ZHANG,ASST SPECIALIST,6492.00,6492.00,0.00,0.00
96,2013,Irvine,YING,ZHANG,LIBRARIAN-CAREER STATUS,87957.00,87957.00,0.00,0.00
97,2013,Irvine,MEI,ZHAN,ASSOC PROF-AY,87408.00,87408.00,0.00,0.00
98,2013,Irvine,MIKE H,ZEWERI,CLIN NURSE 2,124353.00,84477.00,30836.00,9040.00
99,2013,Irvine,ZECARIAS,ZEWDIE,PHLEBOTOMIST,41073.00,33962.00,1874.00,5237.00
100,2013,Irvine,KELLY A,ZEPPENFELDT,STDT AFFAIRS OFCR 2,22756.00,44140.00,0.00,-21384.00
101,2013,Irvine,BRANDIE LANAE,ZEPEDA,SURGICAL TCHN SR,60531.00,53013.00,3332.00,4186.00
102,2013,Irvine,MING,ZENG,JR SPECIALIST,17565.00,14450.00,0.00,3115.00
103,2013,Irvine,FAN-GANG,ZENG,PROF-HCOMP,212475.00,212475.00,0.00,0.00
104,2013,Irvine,WEIHUA,ZENG,ASST PROJ SCIENTIST-FY,51017.00,51017.00,0.00,0.00
105,2013,Irvine,CHARLES S.,ZENDER,PROF-AY,144516.00,101883.00,0.00,42633.00
106,2013,Irvine,ROBYNN L,ZENDER,SRA 1,34936.00,34936.00,0.00,0.00
107,2013,Irvine,ANNA KATRINA,ZENAROSA,ADMITTING WORKER,22216.00,19044.00,1315.00,1857.00
108,2013,Irvine,MARTIN,ZEMAN,ASSOC PROF-AY,90501.00,87500.00,0.00,3001.00
109,2013,Irvine,RICHARD,ZELLMAN,HEALTH INFO CODER 2,12986.00,12361.00,0.00,625.00
110,2013,Irvine,WILLIAM J,ZELLER,ADMIN ANL PRN 1,25563.00,25005.00,0.00,558.00
111,2013,Irvine,JASON ADAM,ZELL,ASST PROF-HCOMP,196443.00,108382.00,0.00,88061.00
112,2013,Irvine,RAJA,ZEITANY,DIR,233012.00,191688.00,0.00,41324.00
113,2013,Irvine,LYNN M.,ZEILENGA,CLIN NURSE 3,138812.00,113909.00,16634.00,8269.00
114,2013,Irvine,RICK L,ZEIGLER,ADMIN SPEC,8761.00,6576.00,0.00,2185.00
115,2013,Irvine,NANCY B,ZEHLER,CMTY HEALTH PRG MGR,25779.00,24374.00,0.00,1405.00
116,2013,Irvine,ZIBA PEREZ,ZEHDAR,LIBRARY AST 3,39518.00,38742.00,0.00,776.00
117,2013,Irvine,KATHARINE,ZEGLER,CLIN NURSE 3,126518.00,98921.00,17862.00,9735.00
118,2013,Irvine,LUIS A,ZECENA,MED RCDS TCHN AST,36706.00,34929.00,777.00,1000.00
119,2013,Irvine,EMILY,ZEAMER,ADMIN ANL,49140.00,49084.00,0.00,56.00
120,2013,Irvine,OMAIMA,ZAYED,LECT-AY-1/9,26756.00,26756.00,0.00,0.00
121,2013,Irvine,NOEMI,ZAVALETA,ACCESS REPR SR,39028.00,38588.00,40.00,400.00
122,2013,Irvine,GUADALUPE,ZAVALA,ADMITTING WORKER PRN,50004.00,44949.00,4055.00,1000.00
123,2013,Irvine,RICARDO A,ZAVALA,BLDG MAINT SUPV SR,64140.00,58909.00,2370.00,2861.00
124,2013,Irvine,HERMAN A,ZAVALA,CUSTODIAN SR,31136.00,30499.00,0.00,637.00
125,2013,Irvine,YESENIA,ZAVALA,HOSP LAB TCHN 2,48354.00,47406.00,308.00,640.00
126,2013,Irvine,NICHOLAS MICHAEL,ZAVALA,HOSP BLANK AST 2,37629.00,35197.00,1382.00,1050.00
127,2013,Irvine,NANCY JASSO,ZAVALA,MED AST 2,36384.00,35380.00,4.00,1000.00
128,2013,Irvine,RAMON G,ZAVALA,ADMIN ANL SR SUPV,57498.00,56328.00,595.00,575.00
129,2013,Irvine,TERESA,ZAVALA,ADMITTING WORKER PRN,41769.00,41091.00,38.00,640.00
130,2013,Irvine,ADRIAN C,ZAVALA,MED CTR CUSTODIAN PD,343.00,343.00,0.00,0.00
131,2013,Irvine,FARZIN,ZAREIAN,ASSOC PROF-AY-B/E/E,102782.00,94792.00,0.00,7990.00
132,2013,Irvine,MARIA E,ZARATE,ASST PROF-AY,42133.00,41183.00,0.00,950.00
133,2013,Irvine,ALEJANDRO,ZARAGOZA,CUSTODIAN,231.00,231.00,0.00,0.00
134,2013,Irvine,CESAR,ZARAGOZA,PROGR ANL 1,66577.00,53904.00,12619.00,54.00
135,2013,Irvine,MICHAEL VINCENT,ZARAGOZA,ASST PROF-HCOMP,106950.00,72034.00,0.00,34916.00
136,2013,Irvine,LILIAN,ZAPRIANOFF,ADMITTING WORKER,19363.00,18813.00,550.00,0.00
137,2013,Irvine,KRISTEN RHODES,ZAPANTA,ANESTHETIST NURSE SR NEX,158885.00,155247.00,659.00,2979.00
138,2013,Irvine,HONG,ZAN,ASSOC PROJ SCIENTIST-FY,79750.00,64375.00,0.00,15375.00
139,2013,Irvine,LUCERO FERNANDEZ,ZAMUDIO,BLANK AST 2,46333.00,45050.00,1256.00,27.00
140,2013,Irvine,MARIA CONCEPCION,ZAMUDIO,MED AST,40404.00,39404.00,0.00,1000.00
141,2013,Irvine,DAVID P.,ZAMORANO,HS ASSOC CLIN PROF-HCOMP,478641.00,182896.00,0.00,295745.00
142,2013,Irvine,ALFREDO,ZAMORA-GARCIA,PATIENT ESCORT PD,24057.00,23602.00,455.00,0.00
143,2013,Irvine,NANCY,ZAMORA,BLANK AST 3,18493.00,18493.00,0.00,0.00
144,2013,Irvine,MARTIN,ZAMORA,COOK AST,24094.00,23896.00,198.00,0.00
145,2013,Irvine,GEORGE GIRON JR,ZAMORA,HOSP AST PD,14177.00,13982.00,195.00,0.00
146,2013,Irvine,GENESIS M,ZAMORA,JR SPECIALIST,1999.00,1999.00,0.00,0.00
147,2013,Irvine,NADYA,ZAMORA,CLIN NURSE 2,87789.00,78006.00,5954.00,3829.00
148,2013,Irvine,DARLENE,ZAMORA,PATIENT BILLER 2,42538.00,41718.00,0.00,820.00
149,2013,Irvine,JUAN OCHOA,ZAMORA,COOK,27038.00,26060.00,978.00,0.00
150,2013,Irvine,GABRIEL ANTHONY,ZAMORA,FIRE AND SECURITY SYS TCHN,82581.00,66028.00,15988.00,565.00
